nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	32.7757
Total grid length: 	69.643
Total number of grid points: 	696
Distance at last grid point: 	69.7
Imag time prop grid with size: g_load.size() = 1500
  is fit into
Real time prop grid with size: g_prop.size() = 34800
Now I am storing
Norm of orbital: 1.000000e+00
timestep 42000 of 666781, Norm of wave function: 1
timestep 42200 of 666781, Norm of wave function: 1
timestep 42400 of 666781, Norm of wave function: 1
timestep 42600 of 666781, Norm of wave function: 1
timestep 42800 of 666781, Norm of wave function: 1
timestep 43000 of 666781, Norm of wave function: 1
timestep 43200 of 666781, Norm of wave function: 1
timestep 43400 of 666781, Norm of wave function: 1
timestep 43600 of 666781, Norm of wave function: 1
timestep 43800 of 666781, Norm of wave function: 1
timestep 44000 of 666781, Norm of wave function: 1
timestep 44200 of 666781, Norm of wave function: 1
timestep 44400 of 666781, Norm of wave function: 1
timestep 44600 of 666781, Norm of wave function: 1
timestep 44800 of 666781, Norm of wave function: 1
timestep 45000 of 666781, Norm of wave function: 1
timestep 45200 of 666781, Norm of wave function: 1
timestep 45400 of 666781, Norm of wave function: 1
timestep 45600 of 666781, Norm of wave function: 1
timestep 45800 of 666781, Norm of wave function: 1
timestep 46000 of 666781, Norm of wave function: 1
timestep 46200 of 666781, Norm of wave function: 1
timestep 46400 of 666781, Norm of wave function: 1
timestep 46600 of 666781, Norm of wave function: 1
timestep 46800 of 666781, Norm of wave function: 1
timestep 47000 of 666781, Norm of wave function: 1
timestep 47200 of 666781, Norm of wave function: 1
timestep 47400 of 666781, Norm of wave function: 1
timestep 47600 of 666781, Norm of wave function: 1
timestep 47800 of 666781, Norm of wave function: 1
timestep 48000 of 666781, Norm of wave function: 1
timestep 48200 of 666781, Norm of wave function: 1
timestep 48400 of 666781, Norm of wave function: 1
timestep 48600 of 666781, Norm of wave function: 1
timestep 48800 of 666781, Norm of wave function: 1
timestep 49000 of 666781, Norm of wave function: 1
timestep 49200 of 666781, Norm of wave function: 1
timestep 49400 of 666781, Norm of wave function: 1
timestep 49600 of 666781, Norm of wave function: 1
timestep 49800 of 666781, Norm of wave function: 1
timestep 50000 of 666781, Norm of wave function: 1
timestep 50200 of 666781, Norm of wave function: 1
timestep 50400 of 666781, Norm of wave function: 1
timestep 50600 of 666781, Norm of wave function: 1
timestep 50800 of 666781, Norm of wave function: 1
timestep 51000 of 666781, Norm of wave function: 1
timestep 51200 of 666781, Norm of wave function: 1
timestep 51400 of 666781, Norm of wave function: 1
timestep 51600 of 666781, Norm of wave function: 1
timestep 51800 of 666781, Norm of wave function: 1
timestep 52000 of 666781, Norm of wave function: 1
timestep 52200 of 666781, Norm of wave function: 1
timestep 52400 of 666781, Norm of wave function: 1
timestep 52600 of 666781, Norm of wave function: 1
timestep 52800 of 666781, Norm of wave function: 1
timestep 53000 of 666781, Norm of wave function: 1
timestep 53200 of 666781, Norm of wave function: 1
timestep 53400 of 666781, Norm of wave function: 1
timestep 53600 of 666781, Norm of wave function: 1
timestep 53800 of 666781, Norm of wave function: 1
timestep 54000 of 666781, Norm of wave function: 1
timestep 54200 of 666781, Norm of wave function: 1
timestep 54400 of 666781, Norm of wave function: 1
timestep 54600 of 666781, Norm of wave function: 1
timestep 54800 of 666781, Norm of wave function: 1
timestep 55000 of 666781, Norm of wave function: 1
timestep 55200 of 666781, Norm of wave function: 1
timestep 55400 of 666781, Norm of wave function: 1
timestep 55600 of 666781, Norm of wave function: 1
timestep 55800 of 666781, Norm of wave function: 1
timestep 56000 of 666781, Norm of wave function: 1
timestep 56200 of 666781, Norm of wave function: 1
timestep 56400 of 666781, Norm of wave function: 1
timestep 56600 of 666781, Norm of wave function: 1
timestep 56800 of 666781, Norm of wave function: 1
timestep 57000 of 666781, Norm of wave function: 1
timestep 57200 of 666781, Norm of wave function: 1
timestep 57400 of 666781, Norm of wave function: 1
timestep 57600 of 666781, Norm of wave function: 1
timestep 57800 of 666781, Norm of wave function: 1
timestep 58000 of 666781, Norm of wave function: 1
timestep 58200 of 666781, Norm of wave function: 1
timestep 58400 of 666781, Norm of wave function: 1
timestep 58600 of 666781, Norm of wave function: 1
timestep 58800 of 666781, Norm of wave function: 1
timestep 59000 of 666781, Norm of wave function: 1
timestep 59200 of 666781, Norm of wave function: 1
timestep 59400 of 666781, Norm of wave function: 1
timestep 59600 of 666781, Norm of wave function: 1
timestep 59800 of 666781, Norm of wave function: 1
timestep 60000 of 666781, Norm of wave function: 1
timestep 60200 of 666781, Norm of wave function: 1
timestep 60400 of 666781, Norm of wave function: 1
timestep 60600 of 666781, Norm of wave function: 1
timestep 60800 of 666781, Norm of wave function: 1
timestep 61000 of 666781, Norm of wave function: 1
timestep 61200 of 666781, Norm of wave function: 1
timestep 61400 of 666781, Norm of wave function: 1
timestep 61600 of 666781, Norm of wave function: 1
timestep 61800 of 666781, Norm of wave function: 1
timestep 62000 of 666781, Norm of wave function: 1
