nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	81.3015
Total number of grid points: 	813
Distance at last grid point: 	81.4
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 40650
Now I am storing
Norm of orbital: 1.000000e+00
timestep 31200 of 666781, Norm of wave function: 0.99808
timestep 31400 of 666781, Norm of wave function: 0.998068
timestep 31600 of 666781, Norm of wave function: 0.998055
timestep 31800 of 666781, Norm of wave function: 0.998043
timestep 32000 of 666781, Norm of wave function: 0.99803
timestep 32200 of 666781, Norm of wave function: 0.998018
timestep 32400 of 666781, Norm of wave function: 0.998005
timestep 32600 of 666781, Norm of wave function: 0.997992
timestep 32800 of 666781, Norm of wave function: 0.99798
timestep 33000 of 666781, Norm of wave function: 0.997967
timestep 33200 of 666781, Norm of wave function: 0.997955
timestep 33400 of 666781, Norm of wave function: 0.997942
timestep 33600 of 666781, Norm of wave function: 0.99793
timestep 33800 of 666781, Norm of wave function: 0.997917
timestep 34000 of 666781, Norm of wave function: 0.997905
timestep 34200 of 666781, Norm of wave function: 0.997892
timestep 34400 of 666781, Norm of wave function: 0.997879
timestep 34600 of 666781, Norm of wave function: 0.997867
timestep 34800 of 666781, Norm of wave function: 0.997854
timestep 35000 of 666781, Norm of wave function: 0.997842
timestep 35200 of 666781, Norm of wave function: 0.997829
timestep 35400 of 666781, Norm of wave function: 0.997816
timestep 35600 of 666781, Norm of wave function: 0.997804
timestep 35800 of 666781, Norm of wave function: 0.997791
timestep 36000 of 666781, Norm of wave function: 0.997778
timestep 36200 of 666781, Norm of wave function: 0.997766
timestep 36400 of 666781, Norm of wave function: 0.997753
timestep 36600 of 666781, Norm of wave function: 0.99774
timestep 36800 of 666781, Norm of wave function: 0.997727
timestep 37000 of 666781, Norm of wave function: 0.997715
timestep 37200 of 666781, Norm of wave function: 0.997702
timestep 37400 of 666781, Norm of wave function: 0.997689
timestep 37600 of 666781, Norm of wave function: 0.997676
timestep 37800 of 666781, Norm of wave function: 0.997663
timestep 38000 of 666781, Norm of wave function: 0.99765
timestep 38200 of 666781, Norm of wave function: 0.997637
timestep 38400 of 666781, Norm of wave function: 0.997625
timestep 38600 of 666781, Norm of wave function: 0.997612
timestep 38800 of 666781, Norm of wave function: 0.997599
timestep 39000 of 666781, Norm of wave function: 0.997586
timestep 39200 of 666781, Norm of wave function: 0.997573
timestep 39400 of 666781, Norm of wave function: 0.997559
timestep 39600 of 666781, Norm of wave function: 0.997546
timestep 39800 of 666781, Norm of wave function: 0.997533
timestep 40000 of 666781, Norm of wave function: 0.99752
