{-9.28697829821171*^-10 + 5.543797885223359*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-8.491337463228529*^-10 + 5.172233550577994*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-7.473888828780014*^-10 + 4.705161661777857*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-6.250907531341043*^-10 + 4.155305076663498*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-4.847260494606731*^-10 + 3.5401207939009187*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-3.297151064738863*^-10 + 2.882147277170897*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-1.6447911555487898*^-10 + 2.2093064790944527*^-7*I, 0. + 0.*I, 0. + 0.*I}
{5.501739614328264*^-12 + 1.555151086905972*^-7*I, 0. + 0.*I, 0. + 0.*I}
{1.7364107452676492*^-10 + 9.590475379234122*^-8*I, 0. + 0.*I, 0. + 0.*I}
{3.3221186021945696*^-10 + 4.6628553250370055*^-8*I, 0. + 0.*I, 0. + 0.*I}
{4.723265411833377*^-10 + 1.2810511417364334*^-8*I, 0. + 0.*I, 0. + 0.*I}
{5.839334384248458*^-10 + 1.6328978517649228*^-10*I, 0. + 0.*I, 0. + 0.*I}
{6.558310562994494*^-10 + 1.4971971214677993*^-8*I, 0. + 0.*I, 0. + 0.*I}
{6.757017714103114*^-10 + 6.406727828252019*^-8*I, 0. + 0.*I, 0. + 0.*I}
{6.301662082701905*^-10 + 1.5478766213040346*^-7*I, 0. + 0.*I, 0. + 0.*I}
{5.048593986150178*^-10 + 2.9492979912625727*^-7*I, 0. + 0.*I, 0. + 0.*I}
{2.845295802028079*^-10 + 4.926871702105905*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-4.683978204877861*^-11 + 7.565765510974379*^-7*I, 0. + 0.*I, 0. + 0.*I}
{-5.058844722828304*^-10 + 1.0953524093157076*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-1.1096905482594727*^-9 + 1.5179093848962594*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-1.875602318852491*^-9 + 2.033173223508255*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-2.8210080564356874*^-9 + 2.6499807319196873*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-3.96310461576277*^-9 + 3.376949533400925*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-5.318642539165771*^-9 + 4.222338612452603*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-6.9036536344771085*^-9 + 5.1939008511412954*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-8.733163426499173*^-9 + 6.298728970254044*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-1.082089128948026*^-8 + 7.543096494180692*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-1.3178941463550296*^-8 + 8.932295555465322*^-6*I, 0. + 0.*I, 0. + 0.*I}
{-1.5817488532129595*^-8 + 0.000010470473539897485*I, 0. + 0.*I, 0. + 0.*I}
{-1.8744461300177095*^-8 + 0.000012160470742200802*I, 0. + 0.*I, 0. + 0.*I}
{-2.1965229320539944*^-8 + 0.00001400366135238155*I, 0. + 0.*I, 0. + 0.*I}
{-2.5482296609065113*^-8 + 0.000015999800220073253*I, 0. + 0.*I, 0. + 0.*I}
{-2.9295007327575544*^-8 + 0.000018146877945395124*I, 0. + 0.*I, 0. + 0.*I}
{-3.3399268387586236*^-8 + 0.000020440986916791482*I, 0. + 0.*I, 0. + 0.*I}
{-3.778729408343359*^-8 + 0.000022876200955943362*I, 0. + 0.*I, 0. + 0.*I}
{-4.244737789078944*^-8 + 0.00002544447123461513*I, 0. + 0.*I, 0. + 0.*I}
{-4.7363696607248305*^-8 + 0.00002813554109567779*I, 0. + 0.*I, 0. + 0.*I}
{-5.2516151905198525*^-8 + 0.000030936882338812484*I, 0. + 0.*I, 0. + 0.*I}
{-5.788025422600461*^-8 + 0.00003383365541873683*I, 0. + 0.*I, 0. + 0.*I}
{-6.342705373116174*^-8 + 0.000036808695849512414*I, 0. + 0.*I, 0. + 0.*I}
{-6.912312267219802*^-8 + 0.00003984252891187746*I, 0. + 0.*I, 0. + 0.*I}
{-7.493059320914268*^-8 + 0.00004291341452168671*I, 0. + 0.*I, 0. + 0.*I}
{-8.08072541705251*^-8 + 0.00004599742383733366*I, 0. + 0.*I, 0. + 0.*I}
{-8.67067097379745*^-8 + 0.00004906854886351944*I, 0. + 0.*I, 0. + 0.*I}
{-9.257860238902516*^-8 + 0.000052098845949990717*I, 0. + 0.*I, 0. + 0.*I}
