{-0.00002008276608615561 - 0.00023407601407208207*I, 0. + 0.*I, 0. + 0.*I}
{-0.000019877819893761336 - 0.00024406171882909405*I, 0. + 0.*I, 0. + 0.*I}
{-0.000019651115946828397 - 0.00025433552653281286*I, 0. + 0.*I, 0. + 0.*I}
{-0.000019403282895802958 - 0.00026488685857999165*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001913499836828254 - 0.00027570383933622365*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001884698993118153 - 0.0002867732675378593*I, 0. + 0.*I, 0. + 0.*I}
{-0.000018540035947583403 - 0.00029808059084555406*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001821496631768196 - 0.00030960988379017263*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001787266308640395 - 0.0003213438293558987*I, 0. + 0.*I, 0. + 0.*I}
{-0.000017514060921186656 - 0.0003332637044165247*I, 0. + 0.*I, 0. + 0.*I}
{-0.000017140147436988574 - 0.0003453493692723379*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001675196336609231 - 0.0003575792615007314*I, 0. + 0.*I, 0. + 0.*I}
{-0.000016350602564172655 - 0.00036993039433739344*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001593721183700761 - 0.0003823783598080787*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001551299058770612 - 0.0003948973367997852*I, 0. + 0.*I, 0. + 0.*I}
{-0.000015079190265709035 - 0.00040746010427829954*I, 0. + 0.*I, 0. + 0.*I}
{-0.000014637113618786824 - 0.00042003805982339685*I, 0. + 0.*I, 0. + 0.*I}
{-0.000014188113736833801 - 0.00043260124365348743*I, 0. + 0.*I, 0. + 0.*I}
{-0.000013733592873826893 - 0.00044511836831047635*I, 0. + 0.*I, 0. + 0.*I}
{-0.000013275001054632096 - 0.00045755685412867785*I, 0. + 0.*I, 0. + 0.*I}
{-0.000012813834447086679 - 0.0004698828706347281*I, 0. + 0.*I, 0. + 0.*I}
{-0.000012351633499796594 - 0.0004820613839881423*I, 0. + 0.*I, 0. + 0.*I}
{-0.000011889980844188658 - 0.000494056210550317*I, 0. + 0.*I, 0. + 0.*I}
{-0.000011430498947833096 - 0.000505830076675983*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001097484752292524 - 0.0005173446847766656*I, 0. + 0.*I, 0. + 0.*I}
{-0.000010524720684482096 - 0.0005285607857006752*I, 0. + 0.*I, 0. + 0.*I}
{-0.000010081843855953895 - 0.0005394382574490121*I, 0. + 0.*I, 0. + 0.*I}
{-9.64797042286547*^-6 - 0.0005499361902257817*I, 0. + 0.*I, 0. + 0.*I}
{-9.22487813216197*^-6 - 0.0005600129777985074*I, 0. + 0.*I, 0. + 0.*I}
{-8.81436524322012*^-6 - 0.0005696264151177318*I, 0. + 0.*I, 0. + 0.*I}
{-8.418246422926694*^-6 - 0.0005787338021330686*I, 0. + 0.*I, 0. + 0.*I}
{-8.038348400800095*^-6 - 0.0005872920536963257*I, 0. + 0.*I, 0. + 0.*I}
{-7.676505377878217*^-6 - 0.0005952578154394178*I, 0. + 0.*I, 0. + 0.*I}
{-7.334554195738114*^-6 - 0.0006025875854800799*I, 0. + 0.*I, 0. + 0.*I}
{-7.014329281171652*^-6 - 0.0006092378417693851*I, 0. + 0.*I, 0. + 0.*I}
{-6.717657359516408*^-6 - 0.0006151651748956189*I, 0. + 0.*I, 0. + 0.*I}
{-6.446351959318441*^-6 - 0.0006203264261007597*I, 0. + 0.*I, 0. + 0.*I}
{-6.202207708399641*^-6 - 0.0006246788302639113*I, 0. + 0.*I, 0. + 0.*I}
{-5.986994434669514*^-6 - 0.0006281801635648355*I, 0. + 0.*I, 0. + 0.*I}
{-5.802451090364378*^-6 - 0.0006307888955069548*I, 0. + 0.*I, 0. + 0.*I}
{-5.650279502665831*^-6 - 0.0006324643449730615*I, 0. + 0.*I, 0. + 0.*I}
{-5.532137972910555*^-6 - 0.0006331668399346064*I, 0. + 0.*I, 0. + 0.*I}
{-5.449634739144802*^-6 - 0.0006328578804217417*I, 0. + 0.*I, 0. + 0.*I}
{-5.404321314976804*^-6 - 0.0006315003043319829*I, 0. + 0.*I, 0. + 0.*I}
{-5.397685730751239*^-6 - 0.0006290584556193471*I, 0. + 0.*I, 0. + 0.*I}
{-5.431145687551869*^-6 - 0.0006254983543944656*I, 0. + 0.*I, 0. + 0.*I}
{-5.506041653996575*^-6 - 0.0006207878684199184*I, 0. + 0.*I, 0. + 0.*I}
{-5.62362991837665*^-6 - 0.0006148968854810359*I, 0. + 0.*I, 0. + 0.*I}
{-5.785075627078438*^-6 - 0.0006077974860662895*I, 0. + 0.*I, 0. + 0.*I}
{-5.991445828540248*^-6 - 0.0005994641157823192*I, 0. + 0.*I, 0. + 0.*I}
{-6.2437025509996575*^-6 - 0.0005898737568961192*I, 0. + 0.*I, 0. + 0.*I}
{-6.5426959349895995*^-6 - 0.0005790060983838142*I, 0. + 0.*I, 0. + 0.*I}
{-6.889157458067378*^-6 - 0.00056684370382565*I, 0. + 0.*I, 0. + 0.*I}
{-7.283693262004106*^-6 - 0.0005533721765024914*I, 0. + 0.*I, 0. + 0.*I}
{-7.726777636997227*^-6 - 0.0005385803209736325*I, 0. + 0.*I, 0. + 0.*I}
{-8.218746661893296*^-6 - 0.0005224603004714478*I, 0. + 0.*I, 0. + 0.*I}
{-8.759792061007355*^-6 - 0.0005050077893563108*I, 0. + 0.*I, 0. + 0.*I}
{-9.349955282976976*^-6 - 0.00048622211992880145*I, 0. + 0.*I, 0. + 0.*I}
{-9.989121852425269*^-6 - 0.00046610642283174004*I, 0. + 0.*I, 0. + 0.*I}
{-0.000010677016014146887 - 0.00044466776029809606*I, 0. + 0.*I, 0. + 0.*I}
{-0.000011413195707862094 - 0.0004219172514771632*I, 0. + 0.*I, 0. + 0.*I}
{-0.000012197047909869736 - 0.0003978701890590555*I, 0. + 0.*I, 0. + 0.*I}
{-0.000013027784359462286 - 0.0003725461464453265*I, 0. + 0.*I, 0. + 0.*I}
{-0.00001390443772872055 - 0.0003459690746524566*I, 0. + 0.*I, 0. + 0.*I}
{-0.000014825858239222082 - 0.00031816738821063156*I, 0. + 0.*I, 0. + 0.*I}
{-0.000015790710789210445 - 0.00028917403924233584*I, 0. + 0.*I, 0. + 0.*I}
{-0.000016797472593820813 - 0.0002590265789907919*I, 0. + 0.*I, 0. + 0.*I}
{-0.000017844431401081972 - 0.0002277672059960485*I, 0. + 0.*I, 0. + 0.*I}
{-0.000018929684288947772 - 0.00019544280020147514*I, 0. + 0.*I, 0. + 0.*I}
{-0.000020051137098060547 - 0.00016210494222025548*I, 0. + 0.*I, 0. + 0.*I}
{-0.00002120650451339543 - 0.00012780991706119727*I, 0. + 0.*I, 0. + 0.*I}
{-0.00002239331083950984 - 0.00009261870158720499*I, 0. + 0.*I, 0. + 0.*I}
{-0.00002360889148718392 - 0.00005659693503741336*I, 0. + 0.*I, 0. + 0.*I}
{-0.000024850395211478765 - 0.000019814871933944636*I, 0. + 0.*I, 0. + 0.*I}
{-0.000026114787118336497 + 0.00001765268324906856*I, 0. + 0.*I, 0. + 0.*I}
{-0.000027398852474572135 + 0.00005572646027189467*I, 0. + 0.*I, 0. + 0.*I}
{-0.000028699201340419825 + 0.00009432282673908318*I, 0. + 0.*I, 0. + 0.*I}
{-0.000030012274051652045 + 0.00013335391167803887*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003133434757190689 + 0.0001727277495857242*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003266154273509616 + 0.000212348445408534*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003398983239827757 + 0.0002521163608720856*I, 0. + 0.*I, 0. + 0.*I}
{-0.000035315050516772274 + 0.00029192832253197525*I, 0. + 0.*I, 0. + 0.*I}
{-0.00003663290216347462 + 0.000331677851877065*I, 0. + 0.*I, 0. + 0.*I}
{-0.000037938974495910475 + 0.00037125541774842886*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000392287486878786 + 0.000410548711298759*I, 0. + 0.*I, 0. + 0.*I}
{-0.00004049761282670687 + 0.00044944294364895204*I, 0. + 0.*I, 0. + 0.*I}
{-0.00004174087578817306 + 0.0004878211663523057*I, 0. + 0.*I, 0. + 0.*I}
{-0.00004295378208348719 + 0.0005255646146972764*I, 0. + 0.*I, 0. + 0.*I}
{-0.00004413152768535287 + 0.0005625530738357793*I, 0. + 0.*I, 0. + 0.*I}
{-0.00004526927682017373 + 0.0005986652676377475*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000463621797308185 + 0.0006337792701259981*I, 0. + 0.*I, 0. + 0.*I}
{-0.00004740539139236472 + 0.0006677729392558228*I, 0. + 0.*I, 0. + 0.*I}
{-0.000048394091170317916 + 0.0007005243727425861*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000493235034103141 + 0.0007319123855704696*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005018891892532102 + 0.0007618170087142762*I, 0. + 0.*I, 0. + 0.*I}
{-0.000050985717383884766 + 0.0007901200085847367*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000517093905433851 + 0.0008167054265533398*I, 0. + 0.*I, 0. + 0.*I}
{-0.000052355566325686124 + 0.000841460137911676*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005292003367922364 + 0.0008642744294728853*I, 0. + 0.*I, 0. + 0.*I}
{-0.000053398768213809175 + 0.0008850425950009999*I, 0. + 0.*I, 0. + 0.*I}
{-0.000053787958548449875 + 0.0009036635475206097*I, 0. + 0.*I, 0. + 0.*I}
{-0.000054084033342402216 + 0.0009200414475200663*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005428368895537808 + 0.0009340863459515987*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005438391769255551 + 0.0009457148408688351*I, 0. + 0.*I, 0. + 0.*I}
{-0.000054382036566469215 + 0.0009548507464361776*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000542757165453656 + 0.0009614257730140685*I, 0. + 0.*I, 0. + 0.*I}
{-0.000054063012191801944 + 0.0009653802168689347*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005374239166131437 + 0.0009666636580604402*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005331276696507455 + 0.0009652356649081692*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005277352444468443 + 0.000961066503418687*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005212455537892835 + 0.000954137849953823*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005136628663788606 + 0.0009444435053403187*I, 0. + 0.*I, 0. + 0.*I}
{-0.00005049971131492706 + 0.0009319901085807128*I, 0. + 0.*I, 0. + 0.*I}
{-0.00004952641925061216 + 0.0009167978482360747*I, 0. + 0.*I, 0. + 0.*I}
{-0.0000484486273482693 + 0.0008989011694738686*I, 0. + 0.*I, 0. + 0.*I}
{-0.000047269209620748505 + 0.0008783494747671321*I, 0. + 0.*I, 0. + 0.*I}
