nohup: ignoring input
 --------------------------------------------------------
                  Real time propagation                  
  (C) Copyright by Bauer D and Koval P, Heidelberg (2005)
 --------------------------------------------------------
  No t-SURFF/i-SURFF data will be generated
 --------------------------------------------------------
./dat/real_prop.log will be (re)written.
./dat/real_prop_yield.dat will be (re)written.
./dat/real_prop_obser.dat will be (re)written.
Imaginary potential width: 	74.9159
Total grid length: 	79.9977
Total number of grid points: 	799
Distance at last grid point: 	80
Imag time prop grid with size: g_load.size() = 1000
  is fit into
Real time prop grid with size: g_prop.size() = 39950
Now I am storing
Norm of orbital: 1.000000e+00
timestep 19200 of 654686, Norm of wave function: 0.997827
timestep 19300 of 654686, Norm of wave function: 0.997815
timestep 19400 of 654686, Norm of wave function: 0.997804
timestep 19500 of 654686, Norm of wave function: 0.997793
timestep 19600 of 654686, Norm of wave function: 0.997781
timestep 19700 of 654686, Norm of wave function: 0.99777
timestep 19800 of 654686, Norm of wave function: 0.997758
timestep 19900 of 654686, Norm of wave function: 0.997747
timestep 20000 of 654686, Norm of wave function: 0.997736
timestep 20100 of 654686, Norm of wave function: 0.997724
timestep 20200 of 654686, Norm of wave function: 0.997713
timestep 20300 of 654686, Norm of wave function: 0.997702
timestep 20400 of 654686, Norm of wave function: 0.99769
timestep 20500 of 654686, Norm of wave function: 0.997679
timestep 20600 of 654686, Norm of wave function: 0.997668
timestep 20700 of 654686, Norm of wave function: 0.997656
timestep 20800 of 654686, Norm of wave function: 0.997645
timestep 20900 of 654686, Norm of wave function: 0.997634
timestep 21000 of 654686, Norm of wave function: 0.997622
timestep 21100 of 654686, Norm of wave function: 0.997611
timestep 21200 of 654686, Norm of wave function: 0.997599
timestep 21300 of 654686, Norm of wave function: 0.997588
timestep 21400 of 654686, Norm of wave function: 0.997577
timestep 21500 of 654686, Norm of wave function: 0.997565
timestep 21600 of 654686, Norm of wave function: 0.997554
timestep 21700 of 654686, Norm of wave function: 0.997543
timestep 21800 of 654686, Norm of wave function: 0.997531
timestep 21900 of 654686, Norm of wave function: 0.99752
timestep 22000 of 654686, Norm of wave function: 0.997508
timestep 22100 of 654686, Norm of wave function: 0.997497
timestep 22200 of 654686, Norm of wave function: 0.997486
timestep 22300 of 654686, Norm of wave function: 0.997474
timestep 22400 of 654686, Norm of wave function: 0.997463
timestep 22500 of 654686, Norm of wave function: 0.997452
timestep 22600 of 654686, Norm of wave function: 0.99744
timestep 22700 of 654686, Norm of wave function: 0.997429
timestep 22800 of 654686, Norm of wave function: 0.997418
timestep 22900 of 654686, Norm of wave function: 0.997406
timestep 23000 of 654686, Norm of wave function: 0.997395
timestep 23100 of 654686, Norm of wave function: 0.997383
timestep 23200 of 654686, Norm of wave function: 0.997372
timestep 23300 of 654686, Norm of wave function: 0.997361
timestep 23400 of 654686, Norm of wave function: 0.997349
timestep 23500 of 654686, Norm of wave function: 0.997338
timestep 23600 of 654686, Norm of wave function: 0.997326
timestep 23700 of 654686, Norm of wave function: 0.997315
timestep 23800 of 654686, Norm of wave function: 0.997304
timestep 23900 of 654686, Norm of wave function: 0.997292
timestep 24000 of 654686, Norm of wave function: 0.997281
timestep 24100 of 654686, Norm of wave function: 0.99727
timestep 24200 of 654686, Norm of wave function: 0.997258
timestep 24300 of 654686, Norm of wave function: 0.997247
timestep 24400 of 654686, Norm of wave function: 0.997235
timestep 24500 of 654686, Norm of wave function: 0.997224
timestep 24600 of 654686, Norm of wave function: 0.997213
timestep 24700 of 654686, Norm of wave function: 0.997201
timestep 24800 of 654686, Norm of wave function: 0.99719
timestep 24900 of 654686, Norm of wave function: 0.997178
timestep 25000 of 654686, Norm of wave function: 0.997167
timestep 25100 of 654686, Norm of wave function: 0.997156
timestep 25200 of 654686, Norm of wave function: 0.997144
timestep 25300 of 654686, Norm of wave function: 0.997133
timestep 25400 of 654686, Norm of wave function: 0.997121
timestep 25500 of 654686, Norm of wave function: 0.99711
timestep 25600 of 654686, Norm of wave function: 0.997099
timestep 25700 of 654686, Norm of wave function: 0.997087
timestep 25800 of 654686, Norm of wave function: 0.997076
timestep 25900 of 654686, Norm of wave function: 0.997064
timestep 26000 of 654686, Norm of wave function: 0.997053
timestep 26100 of 654686, Norm of wave function: 0.997042
timestep 26200 of 654686, Norm of wave function: 0.99703
timestep 26300 of 654686, Norm of wave function: 0.997019
timestep 26400 of 654686, Norm of wave function: 0.997007
timestep 26500 of 654686, Norm of wave function: 0.996996
timestep 26600 of 654686, Norm of wave function: 0.996985
timestep 26700 of 654686, Norm of wave function: 0.996973
timestep 26800 of 654686, Norm of wave function: 0.996962
timestep 26900 of 654686, Norm of wave function: 0.99695
timestep 27000 of 654686, Norm of wave function: 0.996939
timestep 27100 of 654686, Norm of wave function: 0.996927
timestep 27200 of 654686, Norm of wave function: 0.996916
timestep 27300 of 654686, Norm of wave function: 0.996905
timestep 27400 of 654686, Norm of wave function: 0.996893
timestep 27500 of 654686, Norm of wave function: 0.996882
timestep 27600 of 654686, Norm of wave function: 0.99687
timestep 27700 of 654686, Norm of wave function: 0.996859
timestep 27800 of 654686, Norm of wave function: 0.996848
timestep 27900 of 654686, Norm of wave function: 0.996836
timestep 28000 of 654686, Norm of wave function: 0.996825
timestep 28100 of 654686, Norm of wave function: 0.996813
timestep 28200 of 654686, Norm of wave function: 0.996802
timestep 28300 of 654686, Norm of wave function: 0.99679
